Key,English,French
PROPITEM_TXT_000126,Steel Axe,Hache en Acier
PROPITEM_TXT_000128,Morrow Axe,Hache Morrow
PROPITEM_TXT_000130,Crenil Axe,Hache Crenil
PROPITEM_TXT_000132,Curning Axe,Hache Curning
PROPITEM_TXT_000134,Sephir Axe,Hache Saphir
PROPITEM_TXT_000136,Shyadin Axe,Hache Shyadin
PROPITEM_TXT_000138,Gorn Axe,Hache Gorn
PROPITEM_TXT_000140,Bronze Axe,Hache en Bronze
PROPITEM_TXT_000142,Vain Axe,Hache Vaniteuse
PROPITEM_TXT_000144,Grang Axe,Hache Grang
PROPITEM_TXT_000146,Tooring Axe,Hache Tooring
PROPITEM_TXT_000148,Drone Axe,Hache Drone
PROPITEM_TXT_000150,Karm Axe,Hache Karm
PROPITEM_TXT_000152,Proem Axe,Hache Proem
PROPITEM_TXT_000154,Battle Axe,Hache Bataille
PROPITEM_TXT_000156,Corin Axe,Hache Corin
PROPITEM_TXT_000158,Action Axe,Hache D'action
PROPITEM_TXT_000160,Crow Axe,Hache du Corbeau
PROPITEM_TXT_000162,War Axe,Hache Combattant
PROPITEM_TXT_000164,Raptor Axe,Hache du Raptor
PROPITEM_TXT_000166,Zailon Axe,Hache Zailon
PROPITEM_TXT_000168,Berk Axe,Hache Furie
PROPITEM_TXT_000170,Forge Axe,Hache Forgée
PROPITEM_TXT_000172,Ardalin Axe,Hache Ardalin
PROPITEM_TXT_000174,Galaxy Axe,Hache Galactique
PROPITEM_TXT_000176,Dolphin Axe,Hache du Dauphin
PROPITEM_TXT_000178,Ribten Axe,Hache Miroir
PROPITEM_TXT_000180,Bonebar Axe,Hache Squelettique
PROPITEM_TXT_000182,Cantess Axe,Hache Cantess
PROPITEM_TXT_000184,Luxior Axe,Hache Luxor
PROPITEM_TXT_000186,Stormpak Axe,Hache Tempête
PROPITEM_TXT_000188,Exhaust Axe,Hache Tornade
PROPITEM_TXT_000190,Needrek Axe,Hache Needrek
PROPITEM_TXT_000192,Shakyfin Axe,Hache Shakyfin
PROPITEM_TXT_000194,Phantege Axe,Hache Phantege
PROPITEM_TXT_000196,Hitch Axe,Hache Souci
PROPITEM_TXT_000198,Butterfly Axe,Hache Papillon
PROPITEM_TXT_000200,Catchy Axe,Hache Captive
PROPITEM_TXT_000202,Driff Axe,Hache Riftée
PROPITEM_TXT_000204,Fellpeed Axe,Hache Pistombe
PROPITEM_TXT_000206,Saintsail Axe,Hache Bénite
PROPITEM_TXT_000208,Darcro Axe,Hache Darcro
PROPITEM_TXT_000210,Flaper Axe,Hache Flaper
PROPITEM_TXT_000212,Waturan Axe,Hache Waturan
PROPITEM_TXT_000214,Witcher Axe,Hache Sorcière
PROPITEM_TXT_000216,Lichiky Axe,Hache Lichiky
PROPITEM_TXT_000218,Bastard Sword,Épée Destin
PROPITEM_TXT_000220,Two Handed Sword,Épée Ambidextre
PROPITEM_TXT_000222,Darkonizer,Darkonizer
PROPITEM_TXT_000224,Adaptizer,Adaptizer
PROPITEM_TXT_000226,Zweigazer,Zweigazer
PROPITEM_TXT_000228,Kaleonizer,Kaleonizer
PROPITEM_TXT_000230,Gootnizer,Gootnizer
PROPITEM_TXT_000232,Hauntizer,Hantizer
PROPITEM_TXT_000234,Clock Slayer,Slayer
PROPITEM_TXT_000236,Two Handed Axe,Hache à deux mains
PROPITEM_TXT_000238,Great Axe,Tomahawk
PROPITEM_TXT_000240,Kergnition,Kergnition
PROPITEM_TXT_000242,Lurknition,Lurknition
PROPITEM_TXT_000244,Avnition,Avnition
PROPITEM_TXT_000246,Kanainition,Kanainition
PROPITEM_TXT_000248,Orcanition,Orcanition
PROPITEM_TXT_000250,Linition,Linition
PROPITEM_TXT_000252,Hardinition,Hardinition
PROPITEM_TXT_000254,May Stick,Sceptre May
PROPITEM_TXT_000256,Plim Stick,Sceptre Plim
PROPITEM_TXT_000258,Sirin Stick,Sceptre Sirin
PROPITEM_TXT_000260,Scull Stick,Sceptre Skull
PROPITEM_TXT_000262,Tim Stick,Sceptre Kzor
PROPITEM_TXT_000264,Huey Stick,Sceptre Huey
PROPITEM_TXT_000266,Bopol Stick,Sceptre Bopol
PROPITEM_TXT_000268,Kudos Stick,Sceptre Kudos
PROPITEM_TXT_000270,Spim Stick,Sceptre Spim
PROPITEM_TXT_000272,Sayram Stick,Sceptre Sayram
PROPITEM_TXT_000274,Pero Stick,Sceptre Pero
PROPITEM_TXT_000276,Saint Stick,Sceptre Saint
PROPITEM_TXT_000278,Gogo Stick,Sceptre Goga
PROPITEM_TXT_000280,Flury Stick,Sceptre Fury
PROPITEM_TXT_000282,Gale Stick,Sceptre Gale
PROPITEM_TXT_000284,Ninegale Stick,Sceptre Ninegale
PROPITEM_TXT_000286,Zanne Stick,Sceptre Zanne
PROPITEM_TXT_000288,Mirth Stick,Sceptre Mirth
PROPITEM_TXT_000290,Hein Stick,Sceptre Hein
PROPITEM_TXT_000292,Sizzle Stick,Sceptre Sizzle
PROPITEM_TXT_000294,Peppermin Stick,Sceptre Peppermin
PROPITEM_TXT_000296,Sealine Stick,Sceptre Horizon
PROPITEM_TXT_000298,Extreme Stick,Sceptre Extreme
PROPITEM_TXT_000300,Pinacle Stick,Sceptre Pinacle
PROPITEM_TXT_000302,Marple Stick,Sceptre Origan
PROPITEM_TXT_000304,Rave Stick,Sceptre Rave
PROPITEM_TXT_000306,Cherry Stick,Sceptre Cerise
PROPITEM_TXT_000308,Fanta Stick,Sceptre Fanto
PROPITEM_TXT_000310,Fairmine Stick,Sceptre Splendide
PROPITEM_TXT_000312,Moralemine Stick,Sceptre Moral
PROPITEM_TXT_000314,Shabere Stick,Sceptre Shabere
PROPITEM_TXT_000316,Shinewing Stick,Sceptre Séraphin
PROPITEM_TXT_000318,Requer Stick,Sceptre Requer
PROPITEM_TXT_000320,Shalow Stick,Sceptre Shalow
PROPITEM_TXT_000322,Morain Stick,Sceptre Morain
PROPITEM_TXT_000324,Prede Stick,Sceptre Prade
PROPITEM_TXT_000326,Pierlin Stick,Sceptre Pierlin
PROPITEM_TXT_000328,Leoss Stick,Sceptre Leoss
PROPITEM_TXT_000330,Labad Stick,Sceptre Labad
PROPITEM_TXT_000332,Forlas Stick,Sceptre Forlas
PROPITEM_TXT_000334,Vailem Stick,Sceptre Vailem
PROPITEM_TXT_000336,Shait Stick,Sceptre Shait
PROPITEM_TXT_000338,Maret Stick,Sceptre Maret
PROPITEM_TXT_000340,Garlain Stick,Sceptre Garlain
PROPITEM_TXT_000342,Glass Wand,Baguette Verre
PROPITEM_TXT_000344,Seal Wand,Baguette Sceau
PROPITEM_TXT_000346,Crystal Wand,Baguette Cristal
PROPITEM_TXT_000348,Cubic Wand,Baguette Cubique
PROPITEM_TXT_000350,Pearl Wand,Baguette Perlée
PROPITEM_TXT_000352,Epi Wand,Baguette Quartz
PROPITEM_TXT_000354,Topaz Wand,Baguette Topaze
PROPITEM_TXT_000356,Niz Wand,Baguette Saphire
PROPITEM_TXT_000358,Catseye Wand,Baguette Emeraude
PROPITEM_TXT_000360,Ruby Wand,Baguette Rubis
PROPITEM_TXT_000362,Bloody Wand,Baguette Sanguinaire
PROPITEM_TXT_000364,Kalis Wand,Baguette Kalis
PROPITEM_TXT_000366,Merr Wand,Baguette Mera
PROPITEM_TXT_000368,Poly Wand,Baguette Poly
PROPITEM_TXT_000370,Aurora Wand,Baguette Aurore
PROPITEM_TXT_000372,Mekerhill Wand,Baguette Meker
PROPITEM_TXT_000374,Opel Wand,Baguette Opale
PROPITEM_TXT_000376,Naz Wand,Baguette Nax
PROPITEM_TXT_000378,Misty Wand,Baguette Misty
PROPITEM_TXT_000380,Zerem Wand,Baguette Zerem
PROPITEM_TXT_000382,Rainbow Wand,Baguette Colora
PROPITEM_TXT_000384,Bluebow Wand,Baguette Azura
PROPITEM_TXT_000386,Zyme Wand,Baguette Zyme
PROPITEM_TXT_000388,Splhail Wand,Baguette Spahail
PROPITEM_TXT_000390,Illusion Wand,Baguette Illusion
PROPITEM_TXT_000392,Mirage Wand,Baguette Mirage
PROPITEM_TXT_000394,Flupim Wand,Baguette Flupim
PROPITEM_TXT_000396,Aris Wand,Baguette Aris
PROPITEM_TXT_000398,Divine Wand,Baguette Divine
PROPITEM_TXT_000400,Moira Wand,Baguette Moira
PROPITEM_TXT_000402,Neplus Wand,Baguette Neplus
PROPITEM_TXT_000404,Arcadia Wand,Baguette Arcadia
PROPITEM_TXT_000406,Tripale Wand,Baguette Tripale
PROPITEM_TXT_000408,Taris Wand,Baguette Taris
PROPITEM_TXT_000410,Eruld Wand,Baguette Eruld
PROPITEM_TXT_000412,Jalate Wand,Baguette Jalate
PROPITEM_TXT_000414,Rismil Wand,Baguette Rismil
PROPITEM_TXT_000416,Kroril Wand,Baguette Kroril
PROPITEM_TXT_000418,Facus Wand,Baguette Focus
PROPITEM_TXT_000420,Rekis Wand,Baguette Rekis
PROPITEM_TXT_000422,Blackwish Wand,Baguette Inferno
PROPITEM_TXT_000424,Daris Wand,Baguette Daris
PROPITEM_TXT_000426,Hollaten Wand,Baguette Hollaten
PROPITEM_TXT_000428,Lorai Wand,Baguette Lorai
PROPITEM_TXT_000430,Cron Staff,Bâton Cron
PROPITEM_TXT_000432,Mile Staff,Bâton Mile
PROPITEM_TXT_000434,Sailwing Staff,Bâton Séraphin
PROPITEM_TXT_000436,Nile Staff,Bâton Nile
PROPITEM_TXT_000438,Id Staff,Bâton Id
PROPITEM_TXT_000440,Inner Staff,Bâton Inner
PROPITEM_TXT_000442,Seer Staff,Bâton Seer
PROPITEM_TXT_000444,Herald Staff,Bâton Herald
PROPITEM_TXT_000446,Ego Staff,Bâton Ego
PROPITEM_TXT_000448,Addself Staff,Bâton Sajoumem
PROPITEM_TXT_000450,Sorain Staff,Bâton Sorain
PROPITEM_TXT_000452,Sign Staff,Bâton Symbolique
PROPITEM_TXT_000454,Spector Staff,Bâton Spector
PROPITEM_TXT_000456,Ignis Staff,Bâton Ignis
PROPITEM_TXT_000458,Jessy Staff,Bâton Jessy
PROPITEM_TXT_000460,Teba Staff,Bâton Kadjar
PROPITEM_TXT_000462,Cosmo Staff,Bâton Cosmo
PROPITEM_TXT_000464,Sline Staff,Bâton Sline
PROPITEM_TXT_000466,Waterpool Staff,Bâton Océan
PROPITEM_TXT_000468,Starwheel Staff,Bâton Cosmique
PROPITEM_TXT_000470,Olin Staff,Bâton Olin
PROPITEM_TXT_000472,Karzam Staff,Bâton Karzam
PROPITEM_TXT_000474,Wiz Staff,Bâton Wiz
PROPITEM_TXT_000476,Astrol Staff,Bâton Astral
PROPITEM_TXT_000478,Bishapo Staff,Bâton Bishop
PROPITEM_TXT_000480,Sheikane Staff,Bâton Sheikane
PROPITEM_TXT_000482,Guadfoll Staff,Bâton Guadfoll
PROPITEM_TXT_000484,Twenkeen Staff,Bâton Tweken
PROPITEM_TXT_000486,Florel Staff,Bâton Florel
PROPITEM_TXT_000488,Ruofl Staff,Bâton Fluor
PROPITEM_TXT_000490,Birdin Staff,Bâton Birdin
PROPITEM_TXT_000492,Featherwing Staff,Bâton Plume
PROPITEM_TXT_000494,Crossek Staff,Bâton Miracle
PROPITEM_TXT_000496,Holyous Staff,Bâton Holyous
PROPITEM_TXT_000498,Mazerior Staff,Bâton Mazerior
PROPITEM_TXT_000500,Portel Staff,Bâton Portail
PROPITEM_TXT_000502,Darkhild Staff,Bâton Anthracite
PROPITEM_TXT_000504,Mariner Staff,Bâton Marin
PROPITEM_TXT_000506,Hexagon Staff,Bâton Hexagone
PROPITEM_TXT_000508,Remodic Staff,Bâton Remodic
PROPITEM_TXT_000510,Fairel Staff,Bâton Fairel
PROPITEM_TXT_000512,Elfyren Staff,Bâton Elfyren
PROPITEM_TXT_000514,Angeliker Staff,Bâton Angélique
PROPITEM_TXT_000516,Fosharpen Staff,Bâton Aiguisé
PROPITEM_TXT_000518,Cram Knuckle,Poing Cram
PROPITEM_TXT_000520,Overam Knuckle,Poing Overam
PROPITEM_TXT_000522,Speck Knuckle,Poing Speck
PROPITEM_TXT_000524,Sardine Knuckle,Poing Sardin
PROPITEM_TXT_000526,Beetle Knuckle,Poing Coléoptère
PROPITEM_TXT_000528,Twit Knuckle,Poing Twit
PROPITEM_TXT_000530,Sledge Knuckle,Poing Sledge
PROPITEM_TXT_000532,Xeno Knuckle,Poing Xeno
PROPITEM_TXT_000534,Spike Knuckle,Poing Piquant
PROPITEM_TXT_000536,Side Knuckle,Poing Side
PROPITEM_TXT_000538,Mega Knuckle,Poing Mega
PROPITEM_TXT_000540,Talin Knuckle,Poing Talin
PROPITEM_TXT_000542,Wedge Knuckle,Poing Beltias
PROPITEM_TXT_000544,Rigor Knuckle,Poing Rigeur
PROPITEM_TXT_000546,Robin Knuckle,Poing Robin
PROPITEM_TXT_000548,Rampart Knuckle,Poing Rampart
PROPITEM_TXT_000550,Trocal Knuckle,Poing Trocal
PROPITEM_TXT_000552,Revenant Knuckle,Poing Revenant
PROPITEM_TXT_000554,Shark Knuckle,Poing Requin
PROPITEM_TXT_000556,Marvel Knuckle,Poing Marvel
PROPITEM_TXT_000558,Splin Knuckle,Poing Splin
PROPITEM_TXT_000560,Overpass Knuckle,Poing Surpass
PROPITEM_TXT_000562,Azuma Knuckle,Poing Azuma
PROPITEM_TXT_000564,Gravity Knuckle,Poing Gravité
PROPITEM_TXT_000566,Scalemer Knuckle,Poing Écaille
PROPITEM_TXT_000568,Corean Knuckle,Poing Hanbok
PROPITEM_TXT_000570,Redornfit Knuckle,Poing Rouga
PROPITEM_TXT_000572,Fistomber Knuckle,Poing Fisto
PROPITEM_TXT_000574,Samuren Knuckle,Poing Samuren
PROPITEM_TXT_000576,Edoren Knuckle,Poing Edoren
PROPITEM_TXT_000578,Necrynzi Knuckle,Poing Nécrose
PROPITEM_TXT_000580,Skellock Knuckle,Poing Skellock
PROPITEM_TXT_000582,Crossail Knuckle,Poing Croisade
PROPITEM_TXT_000584,Goldross Knuckle,Poing Oross
PROPITEM_TXT_000586,Clawreen Knuckle,Poing Griffe
PROPITEM_TXT_000588,Blesever Knuckle,Poing Blesever
PROPITEM_TXT_000590,Crecendo Knuckle,Poing Crecendo
PROPITEM_TXT_000592,Muncuto Knuckle,Poing Muncuto
PROPITEM_TXT_000594,Violeker Knuckle,Poing Voleker
PROPITEM_TXT_000596,Federhorn Knuckle,Poing Federhorn
PROPITEM_TXT_000598,Metilver Knuckle,Poing Metilver
PROPITEM_TXT_000600,Knighteel Knuckle,Poing Templier
PROPITEM_TXT_000602,Blarmor Knuckle,Poing Blamor
PROPITEM_TXT_000604,Lordorbl Knuckle,Poing Lordor
PROPITEM_TXT_000606,Iron Yo-Yo,Yo-yo Acier
PROPITEM_TXT_000608,Itun,Yo-yo Itun
PROPITEM_TXT_000610,Sleeper,Yo-yo Dormeur
PROPITEM_TXT_000612,Slepint,Yo-yo Slepin
PROPITEM_TXT_000614,Cleeper,Yo-yo Cleeper
PROPITEM_TXT_000616,Client,Yo-yo Client
PROPITEM_TXT_000618,Tri Finger,Yo-yo Triple
PROPITEM_TXT_000620,Tensu,Yo-yo Tensu
PROPITEM_TXT_000622,Imperial,Yo-yo Impérial
PROPITEM_TXT_000624,Emporer,Yo-yo Emporer
PROPITEM_TXT_000626,Death Flower,Yo-yo Mortel
PROPITEM_TXT_000628,Dicein,Yo-yo Dicein
PROPITEM_TXT_000630,Hyper Mirage,Yo-yo Mirage
PROPITEM_TXT_000632,Miragle,Yo-yo Miracle
PROPITEM_TXT_000634,Fethertin Yo-Yo,Yo-yo Rider
PROPITEM_TXT_000636,Ridener,Yo-yo Ridenor
PROPITEM_TXT_000638,Free Hand,Yo-yo Libre
PROPITEM_TXT_000640,Firee,Yo-yo Firo
PROPITEM_TXT_000642,Hyper Impulse,Yo-yo Impulsion
PROPITEM_TXT_000644,Immote,Yo-yo Immote
PROPITEM_TXT_000646,Stealth Brain,Yo-yo Cortex
PROPITEM_TXT_000648,Stencil,Yo-yo Stencil
PROPITEM_TXT_000650,Red Eye,Yo-yo Ecarlate
PROPITEM_TXT_000652,Repoyit,Yo-yo Repoyit
PROPITEM_TXT_000654,Gold Bug,Yo-yo Doré
PROPITEM_TXT_000656,Gelonde,Yo-yo Gelonde
PROPITEM_TXT_000658,Wing Force,Yo-yo Forcené
PROPITEM_TXT_000660,Wingfull,Yo-yo Ailé
PROPITEM_TXT_000662,Aqua Breath,Yo-yo Siphon
PROPITEM_TXT_000664,Anakun,Yo-yo Anakun
PROPITEM_TXT_000666,Circle Sica,Yo-yo Sica
PROPITEM_TXT_000668,Circern,Yo-yo Circern
PROPITEM_TXT_000670,Mirage Hander,Yo-yo Oasis
PROPITEM_TXT_000672,Mishend,Yo-yo Mishend
PROPITEM_TXT_000674,Sharpne Sling,Yo-yo Tranchant
PROPITEM_TXT_000676,Slinfes,Yo-yo Slinfes
PROPITEM_TXT_000678,Aranet,Yo-yo Aranet
PROPITEM_TXT_000680,Akane,Yo-yo Akane
PROPITEM_TXT_000682,Clipeus,Yo-yo Clipeus
PROPITEM_TXT_000684,Clantob,Yo-yo Clantob
PROPITEM_TXT_000686,Eclipse,Yo-yo Eclipse
PROPITEM_TXT_000688,Enaphoon,Yo-yo Enaphoon
PROPITEM_TXT_000690,Corsesca,Yo-yo Corsesca
PROPITEM_TXT_000692,Coroner,Yo-yo Coroner
PROPITEM_TXT_000694,Wooden Bow,Arc Boisé
PROPITEM_TXT_000696,Woodness Bow,Arc Carbone
PROPITEM_TXT_000698,Green Bow,Arc Verda
PROPITEM_TXT_000700,Greentin Bow,Arc Verdi
PROPITEM_TXT_000702,Stinger Bow,Arc Piquant
PROPITEM_TXT_000704,Stienger Bow,Arc Étrange
PROPITEM_TXT_000706,Classic Bow,Arc Contemporain
PROPITEM_TXT_000708,Clasemit Bow,Arc Inclassable
PROPITEM_TXT_000710,Redwing Bow,Arc Rouga
PROPITEM_TXT_000712,Redianer Bow,Arc Sanglant
PROPITEM_TXT_000714,Crystal Bow,Arc Cristal
PROPITEM_TXT_000716,Cristia Bow,Arc Cristia
PROPITEM_TXT_000718,Iron Bow,Arc Métallique
PROPITEM_TXT_000720,Irun Bow,Arc en Acier
PROPITEM_TXT_000722,Layered Bow,Arc Superposition
PROPITEM_TXT_000724,Refometi Bow,Arc Reformé
PROPITEM_TXT_000726,Crusader Bow,Arc Croiseur
PROPITEM_TXT_000728,Curusier Bow,Arc Croisé
PROPITEM_TXT_000730,Siege Bow,Arc Siège
PROPITEM_TXT_000732,Siggers Bow,Arc Siggers
PROPITEM_TXT_000734,Full Metal Bow,Arc en Vrai Métal
PROPITEM_TXT_000736,Fullarch Bow,Arc Faucheur
PROPITEM_TXT_000738,Sentinel Bow,Arc Sentinelle
PROPITEM_TXT_000740,Setien Bow,Arc Setien
PROPITEM_TXT_000742,Velinjack Bow,Arc Velinjack
PROPITEM_TXT_000744,Varife Bow,Arc Varife
PROPITEM_TXT_000746,Darkness bow,Arc Ténèbre
PROPITEM_TXT_000748,Defnan Bow,Arc Defnan
PROPITEM_TXT_000750,Hydra Bow,Arc Hydra
PROPITEM_TXT_000752,Hydron Bow,Arc Hydron
PROPITEM_TXT_000754,Saint Bow,Arc Saint
PROPITEM_TXT_000756,Cenatin Bow,Arc Cenatin
PROPITEM_TXT_000758,Ciclone Bow,Arc Cyclone
PROPITEM_TXT_000760,Cyron Bow,Arc Cyron
PROPITEM_TXT_000762,Saythpair Bow,Arc Sayth
PROPITEM_TXT_000764,Sionic Bow,Arc Sionic
PROPITEM_TXT_000766,Ragonail Bow,Arc Ragonail
PROPITEM_TXT_000768,Regen Bow,Arc Regen
PROPITEM_TXT_000770,Phionix Bow,Arc du Phoenix
PROPITEM_TXT_000772,Fiont Bow,Arc Fint
PROPITEM_TXT_000774,Brikiel Bow,Arc Brikiel
PROPITEM_TXT_000776,Brouton Bow,Arc Brouton
PROPITEM_TXT_000778,Seintibine Bow,Arc Sentibin
PROPITEM_TXT_000780,Sevoy Bow,Arc Sevoy
PROPITEM_TXT_000782,Pike Helmet,Casque Ecaille
PROPITEM_TXT_000784,Silk Helmet,Casque de Soie
PROPITEM_TXT_000786,Iner Helmet,Casque de Cuir
PROPITEM_TXT_000788,Rose Helmet,Casque Léger
PROPITEM_TXT_000790,Cotton Suit,Armure de Coton
PROPITEM_TXT_000792,Pike Suit,Armure Écaille
PROPITEM_TXT_000794,Iner Suit,Armure de Cuir
PROPITEM_TXT_000796,Cream Suit,Armure de Lin
PROPITEM_TXT_000798,Silk Suit,Armure de Soie
PROPITEM_TXT_000800,Rose Suit,Armure Légère
PROPITEM_TXT_000802,Cotton Gauntlets,Gants de Coton
PROPITEM_TXT_000804,Pike Gauntlets,Gants Écaille
PROPITEM_TXT_000806,Iner Gauntlets,Gants de Cuir
PROPITEM_TXT_000808,Cream Gauntlets,Gants de Lin
PROPITEM_TXT_000810,Silk Gauntlets,Gants de Soie
PROPITEM_TXT_000812,Rose Gauntlets,Gants Légers
PROPITEM_TXT_000814,Cotton Boots,Bottes de Coton
PROPITEM_TXT_000816,Pike Boots,Bottes Écaille
PROPITEM_TXT_000818,Iner Boots,Bottes de Cuir
PROPITEM_TXT_000820,Cream Boots,Bottes de Lin
PROPITEM_TXT_000822,Silk Boots,Bottes de Soie
PROPITEM_TXT_000824,Rose Boots,Bottes Légères
PROPITEM_TXT_000826,Leaf Helmet,Casque Folio
PROPITEM_TXT_000828,Leaf Suit,Armure Folio
PROPITEM_TXT_000830,Leaf Gauntlets,Gants Folio
PROPITEM_TXT_000832,Leaf Boots,Bottes Folio
PROPITEM_TXT_000834,Parmil Helmet,Casque Parmil
PROPITEM_TXT_000836,Parmil Suit,Armure Parmil
PROPITEM_TXT_000838,Parmil Gauntlets,Gants Parmil
PROPITEM_TXT_000840,Parmil Boots,Bottes Parmil
PROPITEM_TXT_000842,Flower Helmet,Casque Flora
PROPITEM_TXT_000844,Flower Suit,Armure Flora
PROPITEM_TXT_000846,Flower Gauntlets,Gants Flora
PROPITEM_TXT_000848,Flower Boots,Bottes Flora
PROPITEM_TXT_000850,Petal Helmet,Casque Fortis
PROPITEM_TXT_000852,Petal Suit,Armure Fortis
PROPITEM_TXT_000854,Petal Gauntlets,Gants Fortis
PROPITEM_TXT_000856,Petal Boots,Bottes Fortis
PROPITEM_TXT_000858,Stinger Helmet,Casque Piquant
PROPITEM_TXT_000860,Stinger Suit,Armure Piquante
PROPITEM_TXT_000862,Stinger Gauntlets,Gants Piquants
PROPITEM_TXT_000864,Stinger Boots,Bottes Piquantes
PROPITEM_TXT_000866,Slepint Helmet,Casque Slepin
PROPITEM_TXT_000868,Slepint Suit,Armure Slepin
PROPITEM_TXT_000870,Slepint Gauntlets,Gants Slepin
PROPITEM_TXT_000872,Slepint Boots,Bottes Slepin
PROPITEM_TXT_000874,Curus Helmet,Casque Curus
PROPITEM_TXT_000876,Curus Suit,Armure Curus
PROPITEM_TXT_000878,Curus Gauntlets,Gants Curus
PROPITEM_TXT_000880,Curus Boots,Bottes Curus
PROPITEM_TXT_000882,Sardine Helmet,Casque Sardin
PROPITEM_TXT_000884,Sardine Suit,Armure Sardin
PROPITEM_TXT_000886,Sardine Gauntlets,Gants Sardin
PROPITEM_TXT_000888,Sardine Boots,Bottes Sardin
PROPITEM_TXT_000890,Niz Helmet,Casque Niz
PROPITEM_TXT_000892,Niz Suit,Armure Niz
PROPITEM_TXT_000894,Niz Gauntlets,Gants Niz
PROPITEM_TXT_000896,Niz Boots,Bottes Niz
PROPITEM_TXT_000898,Seer Helmet,Casque Seer
PROPITEM_TXT_000900,Seer Suit,Armure Seer
PROPITEM_TXT_000902,Seer Gauntlets,Gants Seer
PROPITEM_TXT_000904,Seer Boots,Bottes Seer
PROPITEM_TXT_000906,Cylos Helmet,Casque Cylos
PROPITEM_TXT_000908,Cylos Suit,Armure Cylos
PROPITEM_TXT_000910,Cylos Gauntlets,Gants Cylos
PROPITEM_TXT_000912,Cylos Boots,Bottes Cylos
PROPITEM_TXT_000914,Comet Helmet,Casque Cosmic
PROPITEM_TXT_000916,Comet Suit,Armure Cosmic
PROPITEM_TXT_000918,Comet Gauntlets,Gants Cosmic
