Key,English
PRODUCTION_RECIPE_NAME_POTIONOFTHELION,Potion of the Lion
PRODUCTION_RECIPE_NAME_CONCOCTIONOFACCURACY,Concoction of Accuracy
PRODUCTION_RECIPE_NAME_CONCOCTIONOFEVASION,Concoction of Evasion
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTNESS,Concoction of Swiftness
PRODUCTION_RECIPE_NAME_CONCOCTIONOFCLARITY,Concoction of Clarity
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRECKLESSNESS,Concoction of Recklessness
PRODUCTION_RECIPE_NAME_CONCOCTIONOFBLEEDING,Concoction of Bleeding
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough
PRODUCTION_RECIPE_NAME_BUTTER,Butter
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pancake
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew
PRODUCTION_RECIPE_NAME_PIZZA,Pizza
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice
PRODUCTION_RECIPE_NAME_GRATIN,Gratin
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood
PRODUCTION_RECIPE_NAME_RESIN,Resin
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table
PRODUCTION_RECIPE_NAME_DRAWER,Drawer
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk
PRODUCTION_RECIPE_NAME_HEARTH,Hearth
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder
PRODUCTION_RECIPE_NAME_MARBLE,Marble
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise
PRODUCTION_RECIPE_NAME_BRONZE,Bronze
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond
PRODUCTION_RECIPE_NAME_GLASS,Glass
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl
PRODUCTION_RECIPE_NAME_FLASK,Flask
PRODUCTION_RECIPE_NAME_HINGE,Hinge
PRODUCTION_RECIPE_NAME_SPRING,Spring
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier
PRODUCTION_RECIPE_NAME_MIRROR,Mirror
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo
PRODUCTION_RECIPE_NAME_PEP,Pep
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky
PRODUCTION_RECIPE_NAME_STRENTE,Strente
PRODUCTION_RECIPE_NAME_INTIRET,Intiret
PRODUCTION_RECIPE_NAME_DEXION,Dexion
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted Silver Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted Gold Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted Platinum Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted Diamond Ring
