Key,English,Italian
UI_NAVIGATOR_PARTY,Party,Gruppo
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,Mostro
UI_PRIVACY_NOTICE,Privacy Policy,Informativa sulla Privacy
UI_MSGBOX_ACCEPT,Accept,Accetta
UI_MSGBOX_DECLINE,Decline,Rifuita
UI_MSGBOX_CLOSE,Close,Chiude
UI_OPTION_SHADOWS,Shadows,Ombre
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,Distanza Massima
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,Qualità Massima
UI_OPTION_FULLSCREEN,Fullscreen,Schermo intorno
UI_MOTION_TAB_MOT,Motion,Mozione
UI_MOTION_TAB_EMO,Emoticon,Emoticon
UI_REVIVAL_TITLE,Resurrection,Resurrezione
UI_REVIVAL_LODESTAR,Lodestar,Lodestar
UI_REVIVAL_LODESTAR_TIP,Revive to Lodestar,Ritorna al Lodestar
UI_REVIVAL_LODELIGHT,Lodelight,Lodelight
UI_REVIVAL_LODELIGHT_TIP,Revive to Lodelight,Ritorna al Lodelight
UI_CHARINFO_BASE,Base,Base
UI_CHARINFO_NAME,Name,Nome
UI_CHARINFO_LOGIN,Login,Accedi
UI_CHARINFO_JOB,Job,Lavoro
UI_CHARINFO_LEVEL,Level,Livello
UI_CHARINFO_SERVER,Server,Server
UI_CHARINFO_CHANNEL,Channel,Canale
UI_CHARINFO_DETAIL,Detail,Dettaglio
UI_CHARINFO_STR,STR,STR
UI_CHARINFO_STA,STA,STA
UI_CHARINFO_DEX,DEX,DEX
UI_CHARINFO_INT,INT,INT
UI_CHARINFO_STATPOINTS,Stat Points,Punti Stat
UI_CHARINFO_APPLY,Apply,Applica
UI_CHARINFO_RESET,Reset,Reimposta
UI_CHARINFO_CHANGESTATE,Change State,Cambia Stato
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d,Pagina Stat Attuali: %d
UI_CHARINFO_CHANGEPAGE_TITLE,Changing Stat Page,Modifica Pagina Stat
UI_CHARINFO_APPLY_TOOLTIP,Apply new Stats.,Applica nuove stat.
UI_CHARINFO_RESET_TOOLTIP,Return to Previous Stats.,Torna alle Stat precedenti.
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Swap stat pages.,Scambia le pagine delle stat.
UI_CHARINFO_PLUSMINUS_TOOLTIP,Select Apply after you change your Stat points.,Seleziona Applica dopo aver modificato i tuoi punti Stat.
UI_CHARINFO_STR_TOOLTIP,Strengthens Attack Power of Weapon (#cffb40000Except for wand#nc),Aumenta la potenza d'attacco dell'arma (#cffb40000Ad eccezione della bacchetta#nc)
UI_CHARINFO_STA_TOOLTIP,"Strengthens Defense, Max. HP, Max. FP\nHP, FP recovery rate increased","Rafforza la difesa, HP max, FP max\nAumento del tasso di recupero HP e FP"
UI_CHARINFO_DEX_TOOLTIP,"Attack speed increased\nEvasion Rate, Blocking Rate increased\nIncreases Critical Hit Chance.\n#cffb40000Striking power of bow is increased.#nc",Velocità d'attacco aumentata\nTasso di evasione e tasso di blocco aumentati\nAumenta la probabilità di colpo critico.\n#cffb40000La potenza d'urto dell'arco è aumentata.#nc
UI_CHARINFO_INT_TOOLTIP,Amount of Max. MP is increased.\nMagic Attack Power,La quantità di MP max è aumentata.\nPotere di attacco magico
UI_CHARINFO_GP_TOOLTIP,Select Apply after you change your Stat points.,Seleziona Applica dopo aver modificato i tuoi punti Stat.
UI_CHARINFO_PVP_DUELFAME,Duel Fame,Fama Duellante
UI_CHARINFO_PVP_DUELPOINT,Duel Point,Punti Duellante
UI_CHARINFO_PVP_KILLPOINT,Killing Point,Punti Uccisione
UI_CHARINFO_PVP_KARMALEVEL,Karma Level,Livello Karma
UI_CHARINFO_PVP_KARMAPOINT,Karma Point,Punti Karma
UI_CHARINFO_PVPPK,PVP/PK,PVP/PK
UI_TOOLTIP_SEX_MALE,Sex: Male,Sesso: Maschio
UI_TOOLTIP_SEX_FEMALE,Sex: Female,Sesso: Femminile
UI_TOOLTIP_HARVEST_TIMEREDUC,Time Reduction Level,Livello di Riduzione del Tempo
UI_TOOLTIP_HARVEST_YIELDBONUS,Yield Bonus Level,Livello di Bonus Rendimento
UI_TOOLTIP_HARVEST_SPAWNBONUS,Carrier Chance Bonus Level,Livello di Bonus Probabilità Carrier
UI_TOOLTIP_ONEHAND,One-handed weapon.,Arma a una mano.
UI_TOOLTIP_TWOHAND,Two-handed weapon.,Arma a due mani.
UI_TOOLTIP_ATTACK_BASE,Base Attack:,Attacco Base:
UI_TOOLTIP_DEF_BASE,Base Defense:,Difesa Base:
UI_TOOLTIP_ATTACK,Attack:,Attacco:
UI_TOOLTIP_DEF_A,Defense:,Difesa:
UI_TOOLTIP_ATTACK_SPEED,Attack speed: %s,Velocità d'attacco: %s
UI_TOOLTIP_REQ_JOB,Req Job:,Lavoro Richiesto:
UI_TOOLTIP_REQ_LEVEL,Required Level: %d,Livello Richiesto: %d
UI_TOOLTIP_REQ,Requires %s,Richiesta %s
UI_TOOLTIP_RESTORE_MP,Restore MP: %d,Ripristina MP: %d
UI_TOOLTIP_CONSUME_MP,MP: %d,MP: %d
UI_TOOLTIP_CONSUME_FP,FP: %d,FP: %d
UI_TOOLTIP_RESTORE_HP,Restore HP: %d,Ripristina HP: %d
UI_TOOLTIP_RESTORE_FP,Restore FP: %d,Ripristina FP: %d
UI_TOOLTIP_MAX_RESTORE,Effective up to %d,Efficace fino al %d
UI_TOOLTIP_INV_SUIT,Suit,Corazza
UI_TOOLTIP_INV_GAUNTLET,Gauntlet,Guanti
UI_TOOLTIP_INV_BOOTS,Boots,Stivali
UI_TOOLTIP_INV_HELMET,Helmet,Elmo
UI_TOOLTIP_INV_CLO,Cloak,Mantello
UI_TOOLTIP_INV_WEAPON,Weapon,Armi
UI_TOOLTIP_INV_GUARD,Shield,Scudo
UI_TOOLTIP_INV_MASK,Mask,Maschera
UI_TOOLTIP_INV_RID,Flying Item,Oggetto Volante
UI_TOOLTIP_INV_NECKLACE,Necklace,Collana
UI_TOOLTIP_INV_RING,Ring,Anello
UI_TOOLTIP_INV_EARRING,Earring,Orecchino
UI_TOOLTIP_INV_BULLET,"Sub Weapon (Arrows, Posters)","Armi Secondarie (Frecce, Poster)"
UI_TOOLTIP_INV_CLOTHES_1,Fashion hat,Cappello alla Moda
UI_TOOLTIP_INV_CLOTHES_2,Fashion costume,Costume alla Moda
UI_TOOLTIP_INV_CLOTHES_3,Fashion gloves,Guanti alla Moda
UI_TOOLTIP_INV_CLOTHES_4,Fashion shoes,Scarpe alla Moda
UI_TOOLTIP_MON_LVL,Lv.,Lv.
UI_TOOLTIP_MON_DROP,Booty:,Bottino:
UI_TOOLTIP_MON_NO_DROP,None,Niente
UI_MAP_MONINFO,Show monsters informations.,Mostra informazioni sui mostri.
UI_TOOLTIP_DELETE_ITEM,The item dragged here is removed.,L'oggetto trascinato qui viene rimosso.
UI_INVENTORY_DELETE,Drop confirmation,Conferma della rinuncia
UI_INVENTORY_DELETE_CONFIRM,Really delete this item?,Eliminare definitivamente questo oggetto?
UI_INVENTORY_DELETE_CNT,Qty,Quantità
UI_DIALOG,Dialog,Dialogo
UI_DIALOG_TITLE,Conversation,Conversazione
UI_DIALOG_ABOUT,Ask about %s,Chiedi informazioni su %s
UI_OPTION_TAB_GAME,Game,Gioco
UI_OPTION_TAB_CONTROLS,Controls,Controlli
UI_OPTION_TAB_VIDEO,Graphics,Grafica
UI_OPTION_TAB_GRAPHICS,Video,Video
UI_OPTION_TAB_AUDIO,Audio,Audio
UI_OPTION_PM,Whispers and Messages,Sussurri e Messaggi
UI_OPTION_PARTY,Party and guild invites,Inviti a gruppi e gilde
UI_OPTION_FRIEND,Friend Invites,Inviti degli amici
UI_OPTION_SIEGE_CAPTION,Guild Siege Captions,Didascalie dell'assedio della gilda
UI_OPTION_DISABLE_PANG,Disable Tutorial Pang,Disattiva Tutorial Pang
UI_OPTION_COUPLE,Couple Proposals,Proposte di Coppia
UI_INSTANTMSG_TITLE,Message,Messaggio
UI_MESSAGE_SEND,Send,Invia
UI_SHOP_TITLE,Shop,Negozio
UI_SHOP_ITEMSLIST,Item List,Elenco oggetti
UI_TOOLTIP_PRICE,Price: %s,Prezzo: %s
UI_TOOLTIP_SELLPRICE,Selling Price: %s,Prezzo di Vendita: %s
UI_SHOP_FILTER,Search,Ricerca
UI_SHOP_LEVEL,By Level,Per Livello
UI_SHOP_GENDER,By Gender,Per Sesso
UI_SHOP_ITEMPRICE,Item Price,Prezzo dell'oggetto
UI_SELLITEM_TITLE,Selling Confirm,Conferma Vendita
UI_SELLITEM_CONFIRM,Really sell this item?,Vuoi davvero vendere questo oggetto?
UI_SELLITEM_QTY,Quantity,Quantità
UI_SELLITEM_PRICE,Selling Price:,Prezzo di Vendita:
UI_MSGBOX_VALID,Ok,Ok
UI_BUYITEM_TITLE,Confirm Item Purchase,Conferma acquisto oggetto
UI_BUYITEM_CONFIRM,Do you want to buy?,Desideri acquistare?
UI_BUYITEM_PRICE,Cost,Costo
UI_OPTION_GRASS,Grass,Erba
UI_TOOLTIP_MAX_HP,Max. HP,Max. HP
UI_TOOLTIP_MAX_MP,Max. MP,Max. MP
UI_TOOLTIP_MAX_FP,Max. FP,Max. FP
UI_TOOLTIP_SPEED,Speed,Velocità
UI_TOOLTIP_ATKSPEED,Attack Speed,Velocità d'Attacco
UI_TOOLTIP_BLOCKMELEE,Melee Block,Blocco in Mischia
UI_TOOLTIP_HITRATE,Hit Rate,Probabilità di Colpo
UI_TOOLTIP_ABILITYMIN,Min. Ability,Min. Abilità
UI_TOOLTIP_ABILITYMAX,Max. Ability,Max. Abilità
UI_TOOLTIP_DEFENSE,Defense,Difesa
UI_TOOLTIP_DEFMAGIC,Magic Defense,Difesa Magica
UI_TOOLTIP_DEFELECTRICITY,Electricity Resistance,Resistenza all'Elettrica
UI_TOOLTIP_DEFALLELEMENTAL,All Elements Resistance,Resistenza di Tutti gli Elementi
UI_TOOLTIP_DEFFIRE,Fire Resistance,Resistenza al Fuoco
UI_TOOLTIP_DEFWIND,Wind Resistance,Resistenza al Vento
UI_TOOLTIP_DEFWATER,Water Resistance,Resistenza all'Acqua
UI_TOOLTIP_DEFEARTH,Earth Resistance,Resistenza alla Terra
UI_CHARINFO_ELEMENTDEF,Resistance,Resistenza
UI_CHARINFO_ELEMENTMASTRY,Mastery,Maestria
UI_TOOLTIP_HP,HP,HP
UI_TOOLTIP_MP,MP,MP
UI_TOOLTIP_FP,FP,FP
UI_TOOLTIP_HPRECOVERY,HP Recovery,Recupero HP
UI_TOOLTIP_MPRECOVERY,MP Recovery,Recupero MP
UI_TOOLTIP_FPRECOVERY,FP Recovery,Recupero FP
UI_TOOLTIP_ALL_RECOVERY,"HP, MP & FP Recovery","Recupero HP, MP e FP"
UI_TOOLTIP_ALL_RECOVERY_RATE,"HP, MP & FP Recovery Rate","Tasso di Recupero HP, MP e FP"
UI_TOOLTIP_KILL_HP,HP Recovery on kill,Recupero HP all'uccisione
UI_TOOLTIP_KILL_MP,MP Recovery on kill,Recupero MP all'uccisione
UI_TOOLTIP_KILL_FP,FP Recovery on kill,Recupero FP all'uccisione
UI_TOOLTIP_KILL_ALL,"HP, MP & FP Recovery on kill","Recupero HP, MP e FP all'uccisione"
UI_TOOLTIP_KILL_HP_RATE,HP Recovery Rate on kill,Tasso di Recupero HP all'uccisione
UI_TOOLTIP_KILL_MP_RATE,MP Recovery Rate on kill,Tasso di Recupero MP all'uccisione
UI_TOOLTIP_KILL_FP_RATE,FP Recovery Rate on kill,Tasso di Recupero FP all'uccisione
UI_TOOLTIP_KILL_ALL_RATE,"HP, MP & FP Recovery Rate on kill","Tasso di Recupero HP, MP e FP all'uccisione"
UI_TOOLTIP_ALL_DEC_RATE,Decreased Rate of MP & FP Consumption,Diminuzione del Tasso di Consumo di MP e FP
UI_TOOLTIP_CHRDMG,Additional Damage,Danni aggiuntivi
UI_TOOLTIP_PARRY,Parry,Parata
UI_TOOLTIP_ATKPOWER,Increased Attack,Aumento dell'Attacco
UI_TOOLTIP_JUMPING,Jump Height,Altezza del Salto
UI_TOOLTIP_BLOCKRANGE,Ranged Block,Blocco a Distanza
UI_TOOLTIP_ALLSTAT,All Stats,Tutte le Statistiche
UI_TOOLTIP_DST_HP_MAX_RATE,Increased HP,Aumento HP
UI_TOOLTIP_CONDITIONRATE,Magical Power,Potere Magico
UI_TOOLTIP_DST_ADJDEF_RATE,Increased Defense,Aumento della Difesa
UI_TOOLTIP_DST_MP_MAX_RATE,Increased MP,Aumento MP
UI_TOOLTIP_DST_FP_RATE,Increased FP,Aumento FP
UI_TOOLTIP_DST_CRITICAL_RATE,Critical Chance,Probabilità Critica
UI_TOOLTIP_DST_CHR_WEAKATKCHANGE,Attribute Attack,Attacco Attributo
UI_TOOLTIP_DST_MASTRY_EARTH,Mastery: Earth,Maestria: Terra
UI_TOOLTIP_DST_MASTRY_FIRE,Mastery: Fire,Maestria: Fuoco
UI_TOOLTIP_DST_MASTRY_WATER,Mastery: Water,Maestria: Acqua
UI_TOOLTIP_DST_MASTRY_ELECTRICITY,Mastery: Electricity,Maestria: Elettricità
UI_TOOLTIP_DST_MASTRY_WIND,Mastery: Wind,Maestria: Vento
UI_TOOLTIP_DST_MASTRY_ALL,All Elements Mastery,Padronanza di Tutti gli Elementi
UI_TOOLTIP_DST_REFLECT_DAMAGE,Reflect Damage,Riflessione del Danno
UI_TOOLTIP_DST_MP_DEC_RATE,MP Consumption Decrease,Riduzione del Consumo di MP
UI_TOOLTIP_DST_FP_DEC_RATE,FP Consumption Decrease,Riduzione del Consumo di FP
UI_TOOLTIP_DST_SPELL_RATE,Casting Speed,Velocità di Lancio
UI_TOOLTIP_DST_ACTION_SPEED,Action Speed,Velocità d'Azione
UI_TOOLTIP_DST_PROJ_SPEED,Projectile Speed,Velocità del Proiettile
UI_TOOLTIP_DST_DISABLE_EFF,Disable Effect,Effetto di Disabilitazione
UI_TOOLTIP_DST_WEAKEN_EFF,Weaken Effect,Effetto di Indebolimento
UI_TOOLTIP_DST_CRITICAL_BONUS,Critical Damage,Danno Critico
UI_TOOLTIP_DST_YOY_DMG,Attack Power (Yo-Yo),Potere d'Attacco(Yo-Yo)
UI_TOOLTIP_DST_BOW_DMG,Attack Power (Bow),Potere d'Attacco(Arco)
UI_TOOLTIP_DST_KNUCKLE_DMG,Attack Power (Knuckle),Potere d'Attacco(Pugno)
UI_TOOLTIP_DST_SWD_DMG,Attack Power (Sword),Potere d'Attacco(Spada)
UI_TOOLTIP_DST_AXE_DMG,Attack Power (Axe),Potere d'Attacco(Ascia)
UI_TOOLTIP_ATTACKSPEED_RATE,Attack Speed Rate,Velocità Attacco
UI_TOOLTIP_DST_DMG_GET,Lifesteal,Furto di Vita
UI_TOOLTIP_DST_HPDMG_UP,Attack power and HP,Potere d'Attacco e HP
UI_TOOLTIP_DST_DEFHIRATE_DOWN,Defense power and accuracy decrease,Potenza e Precisione della Difesa Diminuiscono
UI_TOOLTIP_DST_DEATHRUSH,Death's Rush Chance,Corsa della Morte Probabilità
UI_TOOLTIP_DST_ANKOUHARVEST,Ankou's Harvest,Il Raccolto di Ankou
UI_TOOLTIP_DST_MURANWRATH,Muran's Wrath,L'Ira di Muran
UI_TOOLTIP_LOCOMOTION,Movement,Movimento
UI_TOOLTIP_RETURN_USE,Return to your former position.,Torna alla tua posizione precedente.
UI_DISPLAY_BUFFS,Show/hide buffs,Mostra/nascondi potenziamenti
UI_SELECTJOB_TITLE,Select new job,Seleziona nuovo lavoro
UI_NOTICE_DISCORD,Join our Discord server,Entra nel nostro server Discord
UI_TOOLTIP_COMBO,Use skills in the Action Slot,Usa le abilità nello Slot Azione
UI_OPTION_ANTIALIAS,Antialiasing,Antialiasing
UI_OPTION_LIGHTS,Lights,Luce
UI_TOOLTIP_HOTKEY,[Hotkey %s],[Hotkey %s]
UI_STATUS_HP,HP,HP
UI_STATUS_FP,FP,FP
UI_STATUS_MP,MP,MP
UI_STATUS_EXP,Exp,Exp
UI_HELPTIPS_TITLE,Todays Tips,Consigli del Giorno
UI_HELPTIPS_DOYOUKNOW,Do you know?,Lo Sai?
UI_HELPFAQ_QUESTION,Q.,Q.
UI_HIDE,Hide,Nascondi
UI_PARTY_INFO,Members,Membri
UI_PARTY_SKILL,Skills,Abilità
UI_PARTY_SETTINGS,Settings,Opzioni
UI_PARTY_NAME,Name:,Nome:
UI_PARTY_LEVEL,Level:,Livello:
UI_PARTY_POINT,Points:,Punti:
UI_PARTY_EXPSHARE,Exp Share,Condivisione EXP
UI_PARTY_EXPMODE_LEVEL,Level,Livello
UI_PARTY_EXPMODE_LEVEL_TIP,Exp is distributed to the Party members according to their levels.,L'Exp viene distribuita ai membri del Gruppo in base al loro livello.
UI_PARTY_EXPMODE_CONTRIB,Contribution,Contributo
UI_PARTY_EXPMODE_CONTRIB_TIP,"Exp is distributed to the Party members according to their contribution to the combat. Contribution includes attacking, healing and tanking.","L'Exp viene distribuita ai membri del Gruppo in base al loro contributo al combattimento. Il contributo include attacchi, cure e tanking."
UI_PARTY_LOOT,Distribute Item,Distribuisci Oggetti
UI_PARTY_LOOTMODE_IND,Individually,Singolarmente
UI_PARTY_LOOTMODE_IND_TIP,This is a Free-For-All Loot type. Players are able to keep whatever they can pick up.,Questo è un tipo di bottino “Free-For-All”. I giocatori possono tenere tutto ciò che riescono a raccogliere.
UI_PARTY_LOOTMODE_SEQ,Sequentially,In Sequenza
UI_PARTY_LOOTMODE_SEQ_TIP,Items are distributed to the characters in order.,Gli oggetti vengono distribuiti ai personaggi in ordine.
UI_PARTY_LOOTMODE_MAN,Manually,Manualmente
UI_PARTY_LOOTMODE_MAN_TIP,All items are given to the Party Leader. The Party Leader will them be able to distribute the items as they see fit.,Tutti gli oggetti vengono consegnati al capo del gruppo. Il capo del gruppo potrà quindi distribuire gli oggetti come ritiene opportuno.
UI_PARTY_LOOTMODE_RAND,Randomly,A caso
UI_PARTY_LOOTMODE_RAND_TIP,Items are distributed randomly.,Gli Oggetti vengono distribuiti a caso.
UI_PARTY_LOOTMODE_KILL,Killer,Assassino
UI_PARTY_LOOTMODE_KILL_TIP,Items are distributed to the player who damaged the most the monster.,Gli oggetti vengono distribuiti al giocatore che ha inflitto più danni al mostro.
UI_PARTY_SEARCHMODE,Search Mode,Modalità Ricerca
UI_PARTY_TRANSFER,Transfer,Trasferimento
UI_PARTY_LEAVE,Leave,Congedo
UI_PARTY_KICK,Kick,Espella
UI_PARTY_CHANGE,Change,Cambia
UI_PARTY_CONFIRM,Confirm Party,Conferma Gruppo
UI_PARTY_INVITEQUESTION,%s invites you to join the party. Do you accept?,%s ti invita al gruppo. Accetti?
UI_PARTY_LEAVE_TIP,"This option will allow members to leave the party or give the Party Leader the ability to remove a member. In order to remove a player, you will first need to select them, and then press the Leave Button.","Questa opzione consentirà ai membri di lasciare il gruppo o darà al capo del gruppo la possibilità di rimuovere un membro. Per rimuovere un giocatore, dovrai prima selezionarlo, quindi premere il pulsante “Lascia”."
UI_PARTY_TRANSFER_TIP,Transfer the party to another player. Select a new leader and the press the transfer button.,Trasferisci il gruppo a un altro giocatore. Seleziona un nuovo capo e premi il pulsante di trasferimento.
UI_PARTY_CONFIRM_TIP,Change the Party to Advanced Party.,Cambia il Gruppo in Gruppo Avanzato.
UI_PARTY_LEAVE_CONFIRM,Confirm leaving party.,Conferma l'uscita del gruppo.
UI_PARTY_LEAVE_QUESTION,Are you going to leave the party?,Hai intenzione di lasciare il gruppo?
UI_PARTY_LEAVE_OTHER,Are you sure you want to remove this player from the party?,Sei sicuro di voler rimuovere questo giocatore dal gruppo?
UI_PARTY_QUICK_TIP,Please click the button to display basic party information.,Clicca sul pulsante per visualizzare le informazioni di base sul partito.
UI_PARTY_DETAIL_TIP,Please click the button for detailed party information.,Clicca sul pulsante per visualizzare le informazioni dettagliate sul partito.
UI_PARTY_CHANGETROUP,Do you want change to Advanced party?,Vuoi cambiare al Gruppo Avanzato?
UI_PARTY_CHANGEPARTY,Change Party,Cambia Gruppo
UI_PARTYNAME_ENTER,Enter Party Name,Inserisci il Nome del Gruppo
UI_PARTYNAME_TITLE,Change Party Name,Cambia il Nome del Gruppo
UI_FRIEND_CONFIRM,Add Friend Confirmation,Conferma Aggiungi Amico
UI_FRIEND_INVITEQUESTION,%s wants to be your friend. Do you accept?,%s vuole essere tuo amico. Accetti?
UI_MESSENGER_ONLINE,Online,Online
UI_MESSENGER_OFFLINE,Offline,Offline
UI_MESSENGER_ABSENT,AFK,AFK
UI_MESSENGER_HARDPLAY,Addict Mode,Modalità Addict
UI_MESSENGER_REST,Resting / Vending,Riposo / Vendita
UI_MESSENGER_EAT,Eating,Mangiare
UI_MESSENGER_MOVE,Moving,Muoversi
UI_MESSENGER_FRIEND,Friend,Amico
UI_MESSENGER_SORT_CHANNEL,Ch.,Ch.
UI_MESSENGER_SORT_STATE,State,Stato
UI_MESSENGER_SORT_LEVEL,Level,Livello
UI_MESSENGER_SORT_NAME,Name,Nome
UI_MESSENGER_SORT_JOB,Job,Lavoro
UI_INSTANTMSG_JOIN,has logged into the game.,ha effettuato l'accesso al gioco.
UI_OPTION_JOIN_NOTIFICATION,Message alarm,Allarme Messaggio
UI_MESSENGER_MENU_MESSAGE,Message,Messaggio
UI_MESSENGER_MENU_UNBLOCK,Unblock,Sblocca
UI_MESSENGER_MENU_BLOCK,Block,Blocca
UI_MESSENGER_MENU_DELETE,Delete,Elimina
UI_MESSENGER_MENU_MOVE,Move,Muovi
UI_MESSENGER_MENU_TAGSEND,Send a memo,Invia una nota
UI_MESSENGER_ADD_FRIEND,Add a new friend,Aggiungi un nuovo amicio
UI_ADDFRIEND_TITLE,Add friend,Aggiungi amico
UI_ADDFRIEND_NAME,Enter Player Name,Inserisci il Nome del Giocatore
UI_READMEMO_TITLE,Message Window,Finestra dei Messagi
UI_SENDMEMO_TITLE,Message Sending Window,Finestra dei Invio Messagi
UI_POST_TITLE,Post,Pubblica
UI_POST_TAB_SEND,Send Mail,Invia posta
UI_POST_TAB_RECEIVE,Inbox,Posta in Arrivo
UI_OPTION_UISCALE,Scale,Scala
UI_OPTION_TEXTSCALE,Font Size,Dimensione Font
UI_IGNORELIST_TITLE,Ignore List,Elenco ignorati
UI_IGNORELIST_COUNT,Ignored list: %d,Elenco ignorati: %d
UI_CHATFILTER_TITLE,Chatting Filter,Filtro Chat
UI_CHATFILTER_GENERAL,General,Generale
UI_CHATFILTER_WHISPER,Whisper,Sussorro
UI_CHATFILTER_SHOUT,Shout,Urla
UI_CHATFILTER_PARTY,Party,Gruppo
UI_CHATFILTER_GUILD,Guild,Gilda
UI_CHATFILTER_RESET_COLORS,Reset Defaults,Ripristina Impostazioni Predefinite
UI_POSTSEND_TO,Receiver,Ricevitore
UI_POSTSEND_TITLE,Title,Titolo
UI_POSTSEND_GOLD,Penya,Penya
UI_POSTSEND_PRICE,Rental Fee: %d Penya,Costo del Noleggio: %d Penya
UI_POSTSEND_SEND,Send,Invia
UI_ITEMSLOT_TITLE,Item confirmation,Conferma Oggetti
UI_ITEMSLOT_QUESTION,How many items?,Quanti Oggetti?
UI_ITEMSLOT_COUNT,Count:,Conte:
UI_POSTSEND_CONFIRM,Are you sure you want to send?\nMail expires after %d days,Sei sicuro di voler inviare?\nLa posta scadrà dopo %d giorni
UI_POST_NO_MAIL,You don't have any mail,Non hai posta :(
UI_POST_UNKNOWN,Unknown,Sconosciuto
UI_POST_RECEIVE_DATE,Date Received: %s,Data di Ricezione: %s
UI_POSTREAD_TITLE,Check Post Box,Controllare la Casella Postale
UI_POSTREAD_FROM,Sender,Mittente
UI_POSTREAD_DELETE,Delete,Elimina
UI_POSTREAD_DELETE_ALL,Delete all read mails,Elimina tutte le poste lette
UI_POSTREAD_DELETEALL_CONFIRM,Delete selected mails? Items and penya will be deleted as well.,Eliminare le poste selezionate? Verranno eliminati anche gli oggetti e i penya.
UI_POSTREAD_REPLY,Reply,Rispondi
UI_POSTREAD_DELETETITLE,Delete Mail,Elimina posta
UI_POSTREAD_DELETECONFIRM,Delete this mail? Items and penya will be deleted as well.,Eliminare questa posta? Anche gli oggetti e la penya verranno eliminati.
UI_POSTREAD_MAILEXPIRED,Mail Expired,Posta Scaduta
UI_POSTREAD_KEEP_PAY,This mail expired %d days ago. You must pay %s penya to recover it.,Questa posta è scaduta %d giorni fa. Devi pagare %s penya per recuperarla.
UI_QUEST_CANCEL,Remove quest,Rimuovi Missione
UI_QUEST_CANCEL_TIP,Cancel Quest in Progress,Annulla Missione in Corso
UI_QUEST_ALLQUESTS,All Quests,Tutti Missioni
UI_QUEST_INPROGRESS,In Progress,In Corso
UI_QUEST_COMPLETED,Completed,Completato
UI_QUEST_LIST,Quest List,Elenco Missioni
UI_QUEST_DETAIL,Quest Details,Dettagli Missione
