Key,English,Filipino
PROPSKILL_TXT_000065,"Powerful, slashing attack. Attacks all enemies around. Requires two weapons.","Powerful, slashing attack. Attacks all enemies around. Requires two weapons."
PROPSKILL_TXT_000066,Berserk,Berserk
PROPSKILL_TXT_000067,"Increases attack speed and striking power, and reduces skill damage.","Increases attack speed and striking power, and reduces skill damage."
PROPSKILL_TXT_000068,Heal,Heal
PROPSKILL_TXT_000069,Recover the HP of a target.,Recover the HP of a target.
PROPSKILL_TXT_000070,Temping Hole,Temping Hole
PROPSKILL_TXT_000071,"Powerful, straight punch.","Powerful, straight punch."
PROPSKILL_TXT_000072,Resurrection,Pagbuhay
PROPSKILL_TXT_000073,Resurrects a dead player.,Resurrects a dead player.
PROPSKILL_TXT_000074,Patience,Patience
PROPSKILL_TXT_000075,Increases maximum HP of the target.,Increases maximum HP of the target.
PROPSKILL_TXT_000076,Prevention,Prevention
PROPSKILL_TXT_000077,Recovers your own HP when it reaches below a certain point.,Recovers your own HP when it reaches below a certain point.
PROPSKILL_TXT_000078,Heap Up,Heap Up
PROPSKILL_TXT_000079,Increases STA of the target.,Increases STA of the target.
PROPSKILL_TXT_000080,Cannon Ball,Cannon Ball
PROPSKILL_TXT_000081,Increases DEX of the target.,Increases DEX of the target.
PROPSKILL_TXT_000082,Circle Healing,Circle Healing
PROPSKILL_TXT_000083,Heals party members close to you.,Heals party members close to you.
PROPSKILL_TXT_000084,Mental Sign,Mental Sign
PROPSKILL_TXT_000085,Increases INT of a target,Increases INT of a target
PROPSKILL_TXT_000086,Beef Up,Beef Up
PROPSKILL_TXT_000087,Increases striking power of a target.,Increases striking power of a target.
PROPSKILL_TXT_000088,Burst Crack,Burst Crack
PROPSKILL_TXT_000089,Pounds the ground and damages enemies around you.,Pounds the ground and damages enemies around you.
PROPSKILL_TXT_000090,Stonehand,Stonehand
PROPSKILL_TXT_000091,All attacks gain the chance to stun.,All attacks gain the chance to stun.
PROPSKILL_TXT_000092,Quick Step,Quick Step
PROPSKILL_TXT_000093,Increases the walk speed of a target.,Increases the walk speed of a target.
PROPSKILL_TXT_000094,Cat's Reflex,Cat's Reflex
PROPSKILL_TXT_000095,Increases the block rate of a target.,Increases the block rate of a target.
PROPSKILL_TXT_000096,Accuracy,Accuracy
PROPSKILL_TXT_000097,Increases the accuracy of a target.,Increases the accuracy of a target.
PROPSKILL_TXT_000098,Power Fist,Power Fist
PROPSKILL_TXT_000099,Three concentrated power strikes.,Three concentrated power strikes.
PROPSKILL_TXT_000100,Haste,Haste
PROPSKILL_TXT_000101,Increases attack speed and decreases casting time of a target.,Increases attack speed and decreases casting time of a target.
PROPSKILL_TXT_000102,Heal Rain,Heal Rain
PROPSKILL_TXT_000103,Recovers HP for party members near you.,Recovers HP for party members near you.
PROPSKILL_TXT_000104,Holycross,Holycross
PROPSKILL_TXT_000105,Target enemy takes double damage in the next attack.,Target enemy takes double damage in the next attack.
PROPSKILL_TXT_000106,Protect,Protect
PROPSKILL_TXT_000107,Decreases the damage from physical & magical attacks on a target.,Decreases the damage from physical & magical attacks on a target.
PROPSKILL_TXT_000108,Holyguard,Holyguard
PROPSKILL_TXT_000109,Protects the target from incoming critical hits for a limited amount of time.,Protects the target from incoming critical hits for a limited amount of time.
PROPSKILL_TXT_000110,Spirit Fortune,Spirit Fortune
PROPSKILL_TXT_000112,Gvur Tialla,Gvur Tialla
PROPSKILL_TXT_000113,Removes de-buffs from a target.,Removes de-buffs from a target.
PROPSKILL_TXT_000114,Geburah Tiphreth,Geburah Tiphreth
PROPSKILL_TXT_000115,"This ability draws upon the inner strength of the user & nearby party members, increasing both Attack Power and Attack Speed for a limited time.","This ability draws upon the inner strength of the user & nearby party members, increasing both Attack Power and Attack Speed for a limited time."
PROPSKILL_TXT_000116,Merkaba Hanzelrusha,Merkaba Hanzelrusha
PROPSKILL_TXT_000117,Enemies take damage over time in an area around you.,Enemies take damage over time in an area around you.
PROPSKILL_TXT_000118,Belial Smashing,Belial Smashing
PROPSKILL_TXT_000119,Deals five powerful blows to the enemy.,Deals five powerful blows to the enemy.
PROPSKILL_TXT_000120,Piercing Serpent,Piercing Serpent
PROPSKILL_TXT_000121,Fires a piercing beam at the target.,Fires a piercing beam at the target.
PROPSKILL_TXT_000122,Blood Fist,Blood Fist
PROPSKILL_TXT_000123,Strikes a heavy blow to the enemy that causes bleeding to the target.,Strikes a heavy blow to the enemy that causes bleeding to the target.
PROPSKILL_TXT_000124,Sonichand,Sonichand
PROPSKILL_TXT_000125,"Fast, straight punch.","Fast, straight punch."
PROPSKILL_TXT_000126,Asmodeus,Asmodeus
PROPSKILL_TXT_000127,Increases striking power.,Increases striking power.
PROPSKILL_TXT_000128,Baraqijal Esna,Baraqijal Esna
PROPSKILL_TXT_000129,"Increases damage dealt to the target, but also increases targets attack.","Increases damage dealt to the target, but also increases targets attack."
PROPSKILL_TXT_000130,Bgvur Tialbold,Bgvur Tialbold
PROPSKILL_TXT_000131,Strikes at nearby enemies with an outward shockwave.,Strikes at nearby enemies with an outward shockwave.
PROPSKILL_TXT_000132,Asalraalaikum,Asalraalaikum
PROPSKILL_TXT_000133,Fully concentrated strike. Always Consumes 100% MP.,Fully concentrated strike. Always Consumes 100% MP.
PROPSKILL_TXT_000134,Flame Ball,Flame Ball
PROPSKILL_TXT_000135,Strikes at the enemy with a ball of flame. Chance to reduce the targets healing capabilities.,Strikes at the enemy with a ball of flame. Chance to reduce the targets healing capabilities.
PROPSKILL_TXT_000136,Flame Geyser,Flame Geyser
PROPSKILL_TXT_000137,Damages the enemy continuously with a geyser of flame.,Damages the enemy continuously with a geyser of flame.
PROPSKILL_TXT_000138,Swordwind,Swordwind
PROPSKILL_TXT_000140,Strongwind,Strongwind
PROPSKILL_TXT_000141,"Ranged, wind attack that moves the enemy.","Ranged, wind attack that moves the enemy."
PROPSKILL_TXT_000142,Blinkpool,Blinkpool
PROPSKILL_TXT_000143,Allows you to teleport.,Allows you to teleport.
PROPSKILL_TXT_000144,Ice Missile,Ice Missile
PROPSKILL_TXT_000145,Blasts the enemy with a missile of ice. Chance to reduce the speed of the target.,Blasts the enemy with a missile of ice. Chance to reduce the speed of the target.
PROPSKILL_TXT_000146,Lightning Ball,Lightning Ball
PROPSKILL_TXT_000147,Damages the enemy with a ball of static. Chance to reduce the targets defense.,Damages the enemy with a ball of static. Chance to reduce the targets defense.
PROPSKILL_TXT_000148,Stone Spike,Stone Spike
PROPSKILL_TXT_000149,Damages an enemy with a stone spike. Chance to stun the enemy.,Damages an enemy with a stone spike. Chance to stun the enemy.
PROPSKILL_TXT_000150,Mental Strike,Mental Strike
PROPSKILL_TXT_000151,Ranged Mental attack.,Ranged Mental attack.
PROPSKILL_TXT_000152,Fire Strike,Fire Strike
PROPSKILL_TXT_000153,Damages an enemy with a fire ball.,Damages an enemy with a fire ball.
PROPSKILL_TXT_000154,Wind Cutter,Wind Cutter
PROPSKILL_TXT_000155,"Ranged, wind attack. Reduces fire resistance of the target.","Ranged, wind attack. Reduces fire resistance of the target."
PROPSKILL_TXT_000156,Waterball,Waterball
PROPSKILL_TXT_000157,A water attack that shoots multiple water orbs at your target.,A water attack that shoots multiple water orbs at your target.
PROPSKILL_TXT_000158,Water Well,Water Well
PROPSKILL_TXT_000159,Splashes the enemy with a water attack.,Splashes the enemy with a water attack.
PROPSKILL_TXT_000160,Lightning Ram,Lightning Ram
PROPSKILL_TXT_000161,Damages the enemy with an electric ball,Damages the enemy with an electric ball
PROPSKILL_TXT_000162,Lightning Shock,Lightning Shock
PROPSKILL_TXT_000163,Damages the enemy with a small but fast lightning ball.,Damages the enemy with a small but fast lightning ball.
PROPSKILL_TXT_000164,Rock Crash,Rock Crash
PROPSKILL_TXT_000165,Damages the enemy with a giant stone.,Damages the enemy with a giant stone.
PROPSKILL_TXT_000166,Rooting,Rooting
PROPSKILL_TXT_000167,Prevents an enemy from approaching.,Prevents an enemy from approaching.
PROPSKILL_TXT_000168,Demonology,Demonology
PROPSKILL_TXT_000169,Damages the enemy with a mental blast and reduces their attack power.,Damages the enemy with a mental blast and reduces their attack power.
PROPSKILL_TXT_000170,Satanology,Satanology
PROPSKILL_TXT_000172,Psychic Bomb,Psychic Bomb
PROPSKILL_TXT_000173,Damages the enemy with a ball of mental energy.,Damages the enemy with a ball of mental energy.
PROPSKILL_TXT_000174,Psychic Wall,Psychic Wall
PROPSKILL_TXT_000175,Creates a wall that pushes an enemy back and damages them & reduces their speed if they touch it.,Creates a wall that pushes an enemy back and damages them & reduces their speed if they touch it.
PROPSKILL_TXT_000176,Spirit Bomb,Spirit Bomb
PROPSKILL_TXT_000177,Does damage to an enemy through the power of your mind.,Does damage to an enemy through the power of your mind.
PROPSKILL_TXT_000178,Crucio Spell,Crucio Spell
PROPSKILL_TXT_000179,Deals damage to an enemy equal to 1.75x the amount the enemy deals.,Deals damage to an enemy equal to 1.75x the amount the enemy deals.
PROPSKILL_TXT_000180,Maximum Crisis,Maximum Crisis
PROPSKILL_TXT_000181,Damages surrounding enemies in a strong mental barrier. Small chance to stun targets.,Damages surrounding enemies in a strong mental barrier. Small chance to stun targets.
PROPSKILL_TXT_000182,Psychic Square,Psychic Square
PROPSKILL_TXT_000183,Damages the enemies around you with a psychic blast.,Damages the enemies around you with a psychic blast.
PROPSKILL_TXT_000184,Firebird,Firebird
PROPSKILL_TXT_000185,Damages the enemy with a fire blast.,Damages the enemy with a fire blast.
PROPSKILL_TXT_000186,Fire Mastery,Fire Mastery
PROPSKILL_TXT_000187,"Increases the striking power of fire spells,","Increases the striking power of fire spells,"
PROPSKILL_TXT_000190,Lightning Strike,Lightning Strike
PROPSKILL_TXT_000191,Damages the enemy with a bolt of lightning.,Damages the enemy with a bolt of lightning.
PROPSKILL_TXT_000192,Lightning Mastery,Lightning Mastery
PROPSKILL_TXT_000193,Increases the striking power of electric spells.,Increases the striking power of electric spells.
PROPSKILL_TXT_000194,Electric Shock,Electric Shock
PROPSKILL_TXT_000195,Damage surrounding enemies with electricity. Magic Resistance of the enemies decreases.,Damage surrounding enemies with electricity. Magic Resistance of the enemies decreases.
PROPSKILL_TXT_000196,Stone Spear,Stone Spear
PROPSKILL_TXT_000197,Damages an enemy with a stone spear.,Damages an enemy with a stone spear.
PROPSKILL_TXT_000198,Earth Mastery,Earth Mastery
PROPSKILL_TXT_000199,Increases the striking power of earth spells.,Increases the striking power of earth spells.
PROPSKILL_TXT_000200,Earthquake,Earthquake
PROPSKILL_TXT_000201,Damages surrounding enemies area. Has a chance to lower the attack of the target.,Damages surrounding enemies area. Has a chance to lower the attack of the target.
PROPSKILL_TXT_000202,Iceshark,Iceshark
PROPSKILL_TXT_000203,Ranged attack that fires an ice projectile.,Ranged attack that fires an ice projectile.
PROPSKILL_TXT_000204,Water Mastery,Water Mastery
PROPSKILL_TXT_000205,Increases striking power of water spells.,Increases striking power of water spells.
PROPSKILL_TXT_000206,Poison Cloud,Poison Cloud
PROPSKILL_TXT_000207,Poisons all enemies in the surrounding area.,Poisons all enemies in the surrounding area.
PROPSKILL_TXT_000208,Void,Void
PROPSKILL_TXT_000209,To attack the enemy by generating a perfect vacuum.,To attack the enemy by generating a perfect vacuum.
PROPSKILL_TXT_000210,Wind Mastery,Wind Mastery
PROPSKILL_TXT_000211,Increases the striking power of wind spells.,Increases the striking power of wind spells.
PROPSKILL_TXT_000212,Windfield,Windfield
PROPSKILL_TXT_000213,Damages surrounding enemies with a wind attack. The speed of the enemies will be reduced.,Damages surrounding enemies with a wind attack. The speed of the enemies will be reduced.
PROPSKILL_TXT_000214,Meteo Shower,Meteo Shower
PROPSKILL_TXT_000215,Damages surrounding enemies with a falling meteor.,Damages surrounding enemies with a falling meteor.
PROPSKILL_TXT_000216,Lightning Storm,Lightning Storm
PROPSKILL_TXT_000217,Damages surrounding enemies with electric blasts. Chance to reduce Critical Damage.,Damages surrounding enemies with electric blasts. Chance to reduce Critical Damage.
PROPSKILL_TXT_000218,Sandstorm,Sandstorm
PROPSKILL_TXT_000219,Damages surrounding enemies with a sandstorm. Chance to reduce Accuracy.,Damages surrounding enemies with a sandstorm. Chance to reduce Accuracy.
PROPSKILL_TXT_000220,Blizzard,Blizzard
PROPSKILL_TXT_000221,Damages surrounding enemies with a snowstorm. Chance to Stun.,Damages surrounding enemies with a snowstorm. Chance to Stun.
PROPSKILL_TXT_000222,Yo-Yo Mastery,Yo-Yo Mastery
PROPSKILL_TXT_000223,Increases damage done with a Yo-yo.,Increases damage done with a Yo-yo.
PROPSKILL_TXT_000224,Bow Mastery,Bow Mastery
PROPSKILL_TXT_000225,Increases damage done with a Bow.,Increases damage done with a Bow.
PROPSKILL_TXT_000226,Dark Illusion,Dark Illusion
PROPSKILL_TXT_000227,Become Invisible for a short time.,Become Invisible for a short time.
PROPSKILL_TXT_000228,Junk Arrow,Junk Arrow
PROPSKILL_TXT_000229,Fire arrows wildly.,Fire arrows wildly.
PROPSKILL_TXT_000230,Fast Walker,Fast Walker
PROPSKILL_TXT_000231,Increases walk speed for a short time,Increases walk speed for a short time
PROPSKILL_TXT_000232,Aimed Shot,Aimed Shot
PROPSKILL_TXT_000233,Slow shot that has a chance to deal double damage.,Slow shot that has a chance to deal double damage.
PROPSKILL_TXT_000234,Slow Step,Slow Step
PROPSKILL_TXT_000235,Slows an enemy,Slows an enemy
PROPSKILL_TXT_000236,Silent Shot,Silent Shot
PROPSKILL_TXT_000237,A surprise attack that does more damage during Dark Illusion.,A surprise attack that does more damage during Dark Illusion.
PROPSKILL_TXT_000238,Perfect Block,Perfect Block
PROPSKILL_TXT_000239,Increases block rate.,Increases block rate.
PROPSKILL_TXT_000240,Arrow Rain,Arrow Rain
PROPSKILL_TXT_000241,Creates a rain of arrows that does damage over time.,Creates a rain of arrows that does damage over time.
PROPSKILL_TXT_000242,Cross Line,Cross Line
PROPSKILL_TXT_000243,A Yo-yo strike that can cause stun.,A Yo-yo strike that can cause stun.
PROPSKILL_TXT_000244,Auto Shot,Auto Shot
PROPSKILL_TXT_000245,Fires arrows multiple times. Can reduce enemies Accuracy.,Fires arrows multiple times. Can reduce enemies Accuracy.
PROPSKILL_TXT_000246,Snatch,Snatch
PROPSKILL_TXT_000247,Steal penya from a target while in Dark Illusion. Attack from behind.,Steal penya from a target while in Dark Illusion. Attack from behind.
PROPSKILL_TXT_000248,Counter Attack,Counter Attack
PROPSKILL_TXT_000249,Execute an attack after the enemy does.,Execute an attack after the enemy does.
PROPSKILL_TXT_000250,Deadly swing,Deadly swing
PROPSKILL_TXT_000251,Strong Yo-yo blast. Chance to make the enemy lose health over time.,Strong Yo-yo blast. Chance to make the enemy lose health over time.
PROPSKILL_TXT_000252,Pulling,Pulling
PROPSKILL_TXT_000253,Brings a target to you using Yo-yo.,Brings a target to you using Yo-yo.
PROPSKILL_TXT_000254,Critical Swing,Critical Swing
PROPSKILL_TXT_000255,Increases chance of critical strike.,Increases chance of critical strike.
PROPSKILL_TXT_000256,Enchant Poison,Enchant Poison
PROPSKILL_TXT_000257,Adds poison damage to your yo-yo and increases attack power.,Adds poison damage to your yo-yo and increases attack power.
PROPSKILL_TXT_000258,Enchant Blood,Enchant Blood
PROPSKILL_TXT_000259,Adds blood damage to your yo-yo and increases attack power.,Adds blood damage to your yo-yo and increases attack power.
PROPSKILL_TXT_000260,Enchant Absorb,Enchant Absorb
PROPSKILL_TXT_000261,Adds the ability to drain HP to your yo-yo and increases attack power.,Adds the ability to drain HP to your yo-yo and increases attack power.
PROPSKILL_TXT_000262,Multi-Stab,Multi-Stab
PROPSKILL_TXT_000263,Strikes the enemy multiple times with the Yo-Yo.,Strikes the enemy multiple times with the Yo-Yo.
PROPSKILL_TXT_000264,Hit of Penya,Hit of Penya
PROPSKILL_TXT_000265,Strengthens the attack of a yo-yo by consuming penya.,Strengthens the attack of a yo-yo by consuming penya.
PROPSKILL_TXT_000266,Escape,Escape
PROPSKILL_TXT_000267,Removes all de-buffs.,Removes all de-buffs.
PROPSKILL_TXT_000268,Vital Stab,Vital Stab
PROPSKILL_TXT_000269,Surprise attack while in Dark Illusion.,Surprise attack while in Dark Illusion.
PROPSKILL_TXT_000270,Critical Shot,Critical Shot
PROPSKILL_TXT_000271,Increase Critical Hit for a limited time.,Increase Critical Hit for a limited time.
PROPSKILL_TXT_000272,Ice Arrow,Ice Arrow
PROPSKILL_TXT_000273,Slows an enemy down by shooting it with arrows covered in ice.,Slows an enemy down by shooting it with arrows covered in ice.
PROPSKILL_TXT_000274,Flame Arrow,Flame Arrow
PROPSKILL_TXT_000275,Gives the fire element to arrows and damages surrounding enemies.,Gives the fire element to arrows and damages surrounding enemies.
PROPSKILL_TXT_000276,Piercing Arrow,Piercing Arrow
PROPSKILL_TXT_000277,Increased arrow strike.,Increased arrow strike.
PROPSKILL_TXT_000278,Poison Arrow,Poison Arrow
PROPSKILL_TXT_000279,Shoots a deadly arrow full of poison at the target. Inflicts Poison.,Shoots a deadly arrow full of poison at the target. Inflicts Poison.
PROPSKILL_TXT_000280,Silent Arrow,Silent Arrow
PROPSKILL_TXT_000281,Attacks the enemy and prevents them from casting spells.,Attacks the enemy and prevents them from casting spells.
PROPSKILL_TXT_000282,Nature,Nature
PROPSKILL_TXT_000283,Heightens the users senses with nature to increase Magic Defense & Bow Range.,Heightens the users senses with nature to increase Magic Defense & Bow Range.
PROPSKILL_TXT_000284,Triple shot,Triple shot
PROPSKILL_TXT_000285,Fires three arrows at once. Stuns the target.,Fires three arrows at once. Stuns the target.
PROPSKILL_TXT_000286,Flash,Flash
PROPSKILL_TXT_000287,Blinded by the flash of light.,Blinded by the flash of light.
PROPSKILL_TXT_000288,Single Stun,Single Stun
PROPSKILL_TXT_000290,Stun Group,Stun Group
PROPSKILL_TXT_000291,You are stunned and you cannot move.,You are stunned and you cannot move.
PROPSKILL_TXT_000292,Damage,Damage
PROPSKILL_TXT_000294,Atk. Counter,Atk. Counter
PROPSKILL_TXT_000295,Attack just as an enemy attacks,Attack just as an enemy attacks
PROPSKILL_TXT_000296,Knock back,Knock back
PROPSKILL_TXT_000297,Pushes the enemy back.,Pushes the enemy back.
PROPSKILL_TXT_000298,Burningfield,Burningfield
PROPSKILL_TXT_000299,Does damage to the enemy over a period of time,Does damage to the enemy over a period of time
PROPSKILL_TXT_000300,Poison,Poison
PROPSKILL_TXT_000301,Damages an enemy over a period of time and reduces their ability to heal.,Damages an enemy over a period of time and reduces their ability to heal.
PROPSKILL_TXT_000302,Stun,Stun
PROPSKILL_TXT_000303,You are stunned and cannot move.,You are stunned and cannot move.
PROPSKILL_TXT_000304,Bleeding,Bleeding
PROPSKILL_TXT_000305,Damages an enemy over a period of time and reduces their attack speed.,Damages an enemy over a period of time and reduces their attack speed.
PROPSKILL_TXT_000306,Steal HP,Steal HP
PROPSKILL_TXT_000307,Drains life from an enemy.,Drains life from an enemy.
PROPSKILL_TXT_000308,Swordcross,Swordcross
PROPSKILL_TXT_000310,Poison Sting,Poison Sting
PROPSKILL_TXT_000313,Damages an enemy over a period of time.,Damages an enemy over a period of time.
PROPSKILL_TXT_000314,Chill of Death,Chill of Death
PROPSKILL_TXT_000315,Decreases attack speed and increases the casting time.,Decreases attack speed and increases the casting time.
PROPSKILL_TXT_000319,You fainted.,You fainted.
PROPSKILL_TXT_000320,Krrr's Poison,Krrr's Poison
PROPSKILL_TXT_000324,Berserker Mushroom,Berserker Mushroom
PROPSKILL_TXT_000325,Increases striking power and attack speed.,Increases striking power and attack speed.
PROPSKILL_TXT_000326,Protective Tree Bark,Protective Tree Bark
PROPSKILL_TXT_000327,Increases defense by wrapping the body in tree bark.,Increases defense by wrapping the body in tree bark.
PROPSKILL_TXT_000328,Buff Break,Buff Break
PROPSKILL_TXT_000330,Buff Break X,Buff Break X
PROPSKILL_TXT_000350,Burn,Burn
PROPSKILL_TXT_000351,Damages the target continuously over time.,Damages the target continuously over time.
PROPSKILL_TXT_000380,Shield Bash,Shield Bash
PROPSKILL_TXT_000381,Attacks the target with a shield. This attack has a chance to stun your enemy. Requires a shield.,Attacks the target with a shield. This attack has a chance to stun your enemy. Requires a shield.
PROPSKILL_TXT_000378,Grand Rage,Grand Rage
PROPSKILL_TXT_000379,Strong One-Handed attack that converts 5% of the damage you deal into FP stolen from the enemy.,Strong One-Handed attack that converts 5% of the damage you deal into FP stolen from the enemy.
PROPSKILL_TXT_000384,Heart of Fury,Heart of Fury
PROPSKILL_TXT_000385,Increases fighting cababilities at the cost of 1% of your maximum FP each strike. Damage will increase by 10% of your maximum FP. Requires a one-handed weapon.,Increases fighting cababilities at the cost of 1% of your maximum FP each strike. Damage will increase by 10% of your maximum FP. Requires a one-handed weapon.
PROPSKILL_TXT_100000,Moon Beam,Moon Beam
PROPSKILL_TXT_100001,Calls upon the moon to weaken the target. All damage done to the target while this de-buff is active is increased.,Calls upon the moon to weaken the target. All damage done to the target while this de-buff is active is increased.
PROPSKILL_TXT_100002,Shade's Support,Shade's Support
PROPSKILL_TXT_100003,Protects the monster from stun and rooting de-buffs.,Protects the monster from stun and rooting de-buffs.
PROPSKILL_TXT_100004,Shade's Boost,Shade's Boost
PROPSKILL_TXT_100005,Increases the monster's speed.,Increases the monster's speed.
PROPSKILL_TXT_100006,Dragon's Grace,Dragon's Grace
PROPSKILL_TXT_100007,The Dragon's grace awakens your attack power.,The Dragon's grace awakens your attack power.
PROPSKILL_TXT_100008,Lion's Grace,Lion's Grace
PROPSKILL_TXT_100009,The Lion's grace awakens your health.,The Lion's grace awakens your health.
PROPSKILL_TXT_100010,Tiger's Grace,Tiger's Grace
PROPSKILL_TXT_100011,The Tiger's grace awakens your critical damage.,The Tiger's grace awakens your critical damage.
PROPSKILL_TXT_100012,Fox's Grace,Fox's Grace
